,키,분류,명칭,주소,행정 시,행정 구,행정 동,X 좌표,Y 좌표
24,BE_IW10-0508,문화재유산|문화재구분|관청,서울 우정총국,서울특별시 종로구 견지동 39-7,서울특별시,종로구,종로1.2.3.4가동,126.9826182,37.5744559
25,BE_IW10-0509,문화재유산|문화재구분|관청,종친부 경근당과 옥첩당,"서울특별시 종로구 화동 2, 가회동 105",서울특별시,종로구,삼청동,126.9831241,37.5807844
26,BE_IW10-0510,문화재유산|문화재구분|관청,종친부 터 우물,서울특별시 종로구 소격동 165,서울특별시,종로구,삼청동,126.9805749,37.5795174
27,BE_IW10-0511,문화재유산|문화재구분|집터,정업원 터,서울특별시 종로구 숭인동 산3,서울특별시,종로구,숭인1동,127.0162555,37.5796166
28,BE_IW10-0512,문화재유산|문화재구분|집터,서울 경모궁지(景慕宮址),서울특별시 종로구 연건동 28-2,서울특별시,종로구,이화동,127.0006005,37.5805685
29,BE_IW10-0513,문화재유산|문화재구분|집터,우암 송시열 집터,서울특별시 종로구 명륜1가 5-99,서울특별시,종로구,혜화동,126.996944,37.5907127
30,BE_IW10-0476,문화재유산|문화재구분|가옥,혜화동 김상협 가옥,서울특별시 종로구 혜화동 15-139,서울특별시,종로구,혜화동,127.0013976,37.5895801
31,BE_IW10-0477,문화재유산|문화재구분|가옥,안국동 윤보선가,서울특별시 종로구 안국동 8-1,서울특별시,종로구,삼청동,126.9837587,37.5790018
32,BE_IW10-0478,문화재유산|문화재구분|가옥,서울 계동 근대 한옥,서울특별시 종로구 계동 105,서울특별시,종로구,가회동,126.9864295,37.5790692
33,BE_IW10-0479,문화재유산|문화재구분|가옥,서울 계동 배렴 가옥,서울특별시 종로구 계동 72,서울특별시,종로구,가회동,126.9866095,37.5813154
34,BE_IW10-0480,문화재유산|문화재구분|가옥,옥인동 박노수 가옥,서울특별시 종로구 옥인동 168-2,서울특별시,종로구,청운효자동,126.9667572,37.5813721
35,BE_IW10-0481,문화재유산|문화재구분|가옥,운니동 김승현 가옥 (운현궁 영로당),서울특별시 종로구 운니동 114-32,서울특별시,종로구,종로1.2.3.4가동,126.9866426,37.5764528
36,BE_IW10-0482,문화재유산|문화재구분|가옥,반계 윤웅렬 별장,서울특별시 종로구 부암동 348,서울특별시,종로구,부암동,126.9621504,37.590248
37,BE_IW10-0483,문화재유산|문화재구분|가옥,서울 홍지동 이광수 별장 터,서울특별시 종로구 홍지동 40,서울특별시,종로구,부암동,126.9560406,37.6002694
38,BE_IW10-0484,문화재유산|문화재구분|가옥,서울 평창동 박종화 가옥,서울특별시 종로구 평창동 128-1,서울특별시,종로구,평창동,126.9673329,37.6122517
39,BE_IW10-0485,문화재유산|문화재구분|가옥,서울 명륜동 장면 가옥,서울특별시 종로구 명륜동 36-1,서울특별시,종로구,종로1.2.3.4가동,126.979642,37.573033
40,BE_IW10-0486,문화재유산|문화재구분|가옥,서울 누하동 이상범 가옥과 화실,"서울특별시 종로구 누하동 178,181",서울특별시,종로구,청운효자동,126.9684084,37.5788517
41,BE_IW10-0487,문화재유산|문화재구분|가옥,서울 원서동 고희동 가옥,서울특별시 종로구 원서동 16,서울특별시,종로구,가회동,126.9889583,37.5831391
42,BE_IW10-0488,문화재유산|문화재구분|가옥,서울 홍파동 홍난파 가옥,서울특별시 종로구 홍파동 2-16,서울특별시,종로구,교남동,126.9651141,37.5716567
43,BE_IW10-0489,문화재유산|문화재구분|가옥,서울 이화장,서울특별시 종로구 이화동 1번지 등,서울특별시,종로구,이화동,127.0064395,37.5783498
44,BE_IW10-0490,문화재유산|문화재구분|가옥,가회동 이준구 가옥,서울특별시 종로구 가회동 31-1,서울특별시,종로구,가회동,126.9837718,37.5836876
45,BE_IW10-0491,문화재유산|문화재구분|가옥,체부동 홍종문 가옥,서울특별시 종로구 체부동 158,서울특별시,종로구,사직동,126.9701009,37.5775321
46,BE_IW10-0492,문화재유산|문화재구분|가옥,경운동 민병옥 가옥,서울특별시 종로구 경운동 66-7,서울특별시,종로구,종로1.2.3.4가동,126.9859435,37.5747066
47,BE_IW10-0493,문화재유산|문화재구분|가옥,가회동 김형태 가옥,서울특별시 종로구 가회동 16-8,서울특별시,종로구,가회동,126.9849052,37.5829296
48,BE_IW10-0494,문화재유산|문화재구분|가옥,가회동 한씨 가옥,서울특별시 종로구 가회동 178,서울특별시,종로구,가회동,126.98572,37.5808485
49,BE_IW10-0495,문화재유산|문화재구분|가옥,가회동 백인제 가옥,서울특별시 종로구 가회동 93-1,서울특별시,종로구,가회동,126.9841689,37.580804
50,BE_IW10-0496,문화재유산|문화재구분|누정,석파정 별당,서울특별시 종로구 홍지동 125,서울특별시,종로구,부암동,126.9586308,37.5992338
51,BE_IW10-0497,문화재유산|문화재구분|누정,오운정,서울특별시 종로구 세종로 1,서울특별시,종로구,청운효자동,126.9767743,37.5866061
52,BE_IW10-0498,문화재유산|문화재구분|누정,종친부터우물,서울특별시 종로고 소격동 165,서울특별시,종로구,삼청동,126.978388,37.56661
53,BE_IW10-0451,문화재유산|문화재구분|문묘,서울 문묘와 성균관,서울특별시 종로구 명륜동3가 53,서울특별시,종로구,삼청동,126.9957415,37.5858106
54,BE_IW10-0452,문화재유산|문화재구분|문묘,숭보사,서울특별시 종로구 명륜동 3가 15-3,서울특별시,종로구,혜화동,126.9963338,37.5865853
60,BE_IW10-0916,장소/위치|종로여행,김종영미술관,서울시 종로구 평창동 114-8,서울특별시,종로구,평창동,126.9776575,37.6130429
61,BE_IW10-0917,장소/위치|종로여행,키미아트,서울시 종로구 평창동 479-2,서울특별시,종로구,평창동,126.9743334,37.6129684
62,BE_IW10-0918,장소/위치|종로여행,영인문학관,서울시 종로구 평창동 499-3,서울특별시,종로구,평창동,126.9717407,37.6119149
63,BE_IW10-0919,장소/위치|종로여행,화정박물관,서울특별시 종로구 평창동 273-1,서울특별시,종로구,평창동,126.9659835,37.6046315
64,BE_IW10-0920,장소/위치|종로여행,세종이야기?충무공이야기,서울시 종로구 세종로 81-3,서울특별시,종로구,사직동,126.9760754,37.5722306
